name,rating,votes,location,cuisines,cost(2),cost category
The Little Kitchen,4,27,Jayanagar,"Chinese, Momos",300,Low
The Sofraah Kebabs & Kurries - Eden Park Restaurants,4,176,Jayanagar,"North Indian, Afghan",1350,High
Mad Over Biryani,3,9,JP Nagar,"North Indian, Biryani",600,Medium
Bhaijaan Barbeques,3,6,Koramangala 7th Block,"Mughlai, Arabian, BBQ",200,Low
Millet Mama,4,18,Basavanagudi,"South Indian, Healthy Food",200,Low
Popsies,4,823,Koramangala 5th Block,"Chinese, Momos",550,Medium
Kafe Nook,4,35,BTM,Fast Food,300,Low
TheRiceBowl.In,3,19,BTM,"Biryani, North Indian",200,Low
Brewz Coffee,3,61,BTM,Cafe,650,Medium
Tomago Roast,4,12,BTM,"Fast Food, Beverages",400,Low
RBP Greens Garden,3,48,BTM,"North Indian, Chinese",700,Medium
Fitbakes,4,13,Jayanagar,"Bakery, Healthy Food",400,Low
Mint and Mustard,4,245,Basavanagudi,"North Indian, Chinese",750,Medium
Cafemoto,4,201,Koramangala 5th Block,"Cafe, Continental, Italian, Burger",800,Medium
Indus Family Restaurant,4,117,BTM,"North Indian, Biryani",600,Medium
JP Fish Land,4,24,BTM,Seafood,300,Low
Spice Up,4,146,JP Nagar,Chinese,600,Medium
Venkateshwara Foods,3,13,Residency Road,"Street Food, South Indian",400,Low
The Retro,3,47,Koramangala 7th Block,"Chinese, Burger",300,Low
Namma Kudla,4,200,JP Nagar,"Mangalorean, North Indian, Chinese, Seafood",400,Low
China Pearl,4,1853,Koramangala 6th Block,Chinese,1100,High
Bonsouth,4,2618,Koramangala 5th Block,"Chettinad, Andhra, Kerala",1300,High
The Denny's,4,93,Jayanagar,"North Indian, Chinese",900,Medium
Momo Hut,4,684,Koramangala 5th Block,"Chinese, Tibetan, Momos",250,Low
Armaani Caffe,4,12,BTM,Fast Food,250,Low
Shake Tat Bottle,3,5,BTM,Beverages,200,Low
Restro Cafe,4,30,Jayanagar,Cafe,400,Low
The Kream Story,4,37,Koramangala 7th Block,"Desserts, Fast Food",500,Medium
Jalpaan,4,870,Jayanagar,"North Indian, Continental",900,Medium
Muthashy's,4,467,BTM,"Kerala, South Indian, Chinese",400,Low
Shanmukha,4,1972,Jayanagar,"Biryani, Andhra, North Indian, Chinese",800,Medium
Ilyazsab The House Of Chicken,4,118,BTM,"Rolls, Kebab",250,Low
The Good Bowl,4,6,JP Nagar,"Italian, North Indian, Biryani",500,Medium
Chicken Corner,4,25,BTM,"Biryani, North Indian, Fast Food, Chinese",400,Low
Faasos,4,313,JP Nagar,"North Indian, Biryani, Fast Food",500,Medium
Kaapi Kuteera,4,86,Kanakapura Road,South Indian,100,Low
KFC,3,351,Jayanagar,"Burger, Fast Food",400,Low
OMG Biriyani,3,16,BTM,"Biryani, Andhra, Chinese",600,Medium
Behrouz Biryani,4,190,JP Nagar,Biryani,650,Medium
Cakewala,4,232,JP Nagar,"Bakery, Desserts",500,Medium
Ghee Biryanis,3,137,BTM,"Biryani, North Indian",500,Medium
Sri Vishnu Park,4,99,BTM,"South Indian, North Indian, Chinese",350,Low
Night Biryani,3,21,BTM,"Biryani, North Indian",600,Medium
Goli Vada Pav No. 1,4,65,Kumaraswamy Layout,Street Food,200,Low
Samosa Singh,4,153,JP Nagar,"Street Food, Fast Food, Rolls, Desserts",200,Low
Nammura Donne Biriyani,3,5,Bannerghatta Road,Biryani,300,Low
Brundhavana Food Point,4,193,Kumaraswamy Layout,"South Indian, North Indian, Chinese, Street Food, Beverages",300,Low
Odissi Restaurant,3,65,BTM,"Oriya, Bengali",500,Medium
Yum In My Tum,4,102,BTM,"Chinese, Continental, Fast Food, Healthy Food",300,Low
Nandhanu's Rasoi,3,177,Kumaraswamy Layout,"Chinese, North Indian",400,Low
Sri Krishna Aramane,4,41,Kumaraswamy Layout,"South Indian, North Indian, Chinese, Fast Food",200,Low
Mast Punjabi,3,231,Kumaraswamy Layout,"North Indian, Chinese, Rolls, Biryani, Kebab",400,Low
Ashirvaad Grand,4,113,BTM,"Chinese, North Indian, South Indian",400,Low
Vijayalakshmi Veg,4,97,Jayanagar,South Indian,200,Low
Richie Rich,3,14,JP Nagar,"Desserts, Ice Cream, Beverages",250,Low
Desi Dawat,4,248,Kumaraswamy Layout,"North Indian, Fast Food",400,Low
The Spice Saga,4,126,Kumaraswamy Layout,"Biryani, North Indian, Chinese, Seafood",750,Medium
Tarbouche,4,12,BTM,"Turkish, Rolls",300,Low
Balaji Bombay Vada Pav Gujrati Dalebi,4,38,JP Nagar,"Street Food, Sandwich",150,Low
Bombay Talkies,4,21,Jayanagar,"Maharashtrian, Fast Food, Street Food, Sandwich",200,Low
Juice Land,4,142,Bannerghatta Road,"Juices, Beverages",300,Low
Taco Bell,4,168,Bannerghatta Road,"Mexican, American, Fast Food",600,Medium
Magix's Parattha Roll,4,184,BTM,"Fast Food, North Indian, Chinese, Mughlai, Rolls",400,Low
Cafe Thulp,4,3007,Koramangala 1st Block,"Cafe, Burger, Italian, Salad",1000,Medium
YORK St.,4,946,Koramangala 5th Block,"Cafe, European, Continental",900,Medium
Roundup Cafe,4,493,Koramangala 5th Block,"Cafe, Continental, Beverages",800,Medium
