name,rating,votes,location,cuisines,cost(2),cost category
Chung Wah,4,532,Bannerghatta Road,"Chinese, Thai, Momos, Vietnamese",800,Medium
Indiana Burgers,3,23,BTM,Burger,300,Low
Moksha,4,42,Kanakapura Road,"Chinese, North Indian, Andhra, South Indian",1500,High
Marwa Restaurant,4,551,Bannerghatta Road,"North Indian, Chinese, Fast Food, BBQ",600,Medium
Chaatimes,4,100,JP Nagar,"Street Food, Fast Food",200,Low
Shanghai Court,4,421,Bannerghatta Road,"Chinese, Thai",700,Medium
Akshaya Donne Biriyani,3,38,JP Nagar,"Biryani, South Indian, Kebab",300,Low
The Studio Cafe,4,20,Jayanagar,"Cafe, Beverages",400,Low
La Grande Cafe,4,46,Jayanagar,Cafe,400,Low
36th Cross Coffee Mane,4,16,Jayanagar,"South Indian, Chinese, Beverages, Cafe, Coffee, Fast Food, Momos, North Indian",200,Low
4th Tea Block,4,62,Jayanagar,Cafe,150,Low
Cuppa,3,59,Jayanagar,"Cafe, Fast Food",550,Medium
Brews N Bites,3,62,Jayanagar,"Chinese, Fast Food, Cafe",650,Medium
Brew Bakes,3,13,Jayanagar,"Cafe, Continental, Italian",550,Medium
Bread and Circus,4,50,Shanti Nagar,"Cafe, Fast Food, Pizza, Burger",550,Medium
Java City,3,157,Jayanagar,"Cafe, American, Pizza",450,Low
Swati Cafe,3,8,Shanti Nagar,"Cafe, Fast Food",500,Medium
Rustic Treats,3,4,Jayanagar,"Street Food, Cafe",400,Low
People Tree Cafe,4,168,Jayanagar,"Cafe, Fast Food, Beverages",400,Low
eat.fit,5,143,Koramangala 5th Block,"Healthy Food, North Indian, Biryani, Continental, Sandwich, Desserts",500,Medium
Leon Grill,4,414,Jayanagar,"Burger, Turkish, Arabian, Fast Food, Salad, Healthy Food, Desserts",500,Medium
Dr. Bubbles,4,95,Jayanagar,"Beverages, Desserts",400,Low
Shanmukha,4,774,Koramangala 5th Block,"Biryani, Andhra, North Indian, Chinese",800,Medium
Bhukkhad Baba,4,125,JP Nagar,"North Indian, Beverages",250,Low
Chinese Square,4,38,Basavanagudi,Chinese,200,Low
Subway,4,176,Basavanagudi,"Salad, Fast Food",600,Medium
Mysuru Coffee Thindi,4,296,Jayanagar,"South Indian, Coffee",200,Low
Smoke-A-Pot,4,91,JP Nagar,"Biryani, North Indian, Rolls",500,Medium
Just Shawarma,4,792,Jayanagar,Arabian,300,Low
The Biriyani Pedia,4,55,BTM,Biryani,300,Low
Paratha Junction,3,395,Jayanagar,"North Indian, Chinese",300,Low
SL Vadapav,4,78,Jayanagar,Maharashtrian,100,Low
Wazir's,3,261,Shanti Nagar,"North Indian, Chinese",500,Medium
Krispy Kreme,4,253,Jayanagar,"Desserts, Beverages",300,Low
Kababs N Biryani,3,22,Banashankari,South Indian,200,Low
Roti Ghar,4,750,Basavanagudi,"North Indian, Chinese, South Indian",500,Medium
Marenahalli Donne Biriyani,4,259,JP Nagar,"Biryani, Fast Food",300,Low
Keventers,4,210,Jayanagar,"Desserts, Beverages, Ice Cream",400,Low
Namma Banashankari Donne Biryani,4,94,JP Nagar,"Biryani, Kebab",250,Low
Puliyogare Point,4,444,Basavanagudi,South Indian,100,Low
Dadi's Dum Biryani,4,2723,BTM,"Biryani, North Indian, Mughlai",800,Medium
Chai Point,3,208,Jayanagar,"Tea, Beverages, Fast Food",250,Low
Twiststick House,4,163,Basavanagudi,"Continental, Fast Food, Street Food, Momos",500,Medium
Starlite Bakery & Fastfood,4,23,Jayanagar,"North Indian, Chinese, Rolls, Bakery, Arabian, Charcoal Chicken, Desserts",300,Low
Janahaar,4,70,Banashankari,South Indian,100,Low
Juicy Momos,4,80,Banashankari,"Tibetan, Momos",250,Low
Upahara Darshini,4,166,Jayanagar,"South Indian, North Indian, Chinese",400,Low
Bangalore Agarwal Bhavan,4,134,Jayanagar,"Street Food, North Indian, South Indian",400,Low
Just Thindi,4,16,Basavanagudi,South Indian,200,Low
SLV Corner Restaurant,4,364,Basavanagudi,"South Indian, Chinese, North Indian, Street Food, Rolls, Juices",550,Medium
Tummy Fuel,4,449,Jayanagar,"Cafe, Beverages, Fast Food",400,Low
XO Belgian Waffle,4,56,Basavanagudi,"Desserts, Beverages",400,Low
Kanti Sweets,4,148,Jayanagar,"Mithai, Street Food",400,Low
Firangi Bake,4,53,Banashankari,"Mexican, Italian",600,Medium
Vinny's,4,2115,Banashankari,"Pizza, Italian, Continental, Desserts",800,Medium
Pani Kum Chai,4,67,Jayanagar,Fast Food,200,Low
Matru Sagar,4,84,Banashankari,"South Indian, North Indian, Chinese",250,Low
Lassi Shop,4,21,Basavanagudi,"Beverages, Juices",100,Low
Tanna's Kitchen,3,7,Kumaraswamy Layout,"Italian, Chinese, Street Food",250,Low
Goli Vada Pav No. 1,4,93,Basavanagudi,Street Food,200,Low
Rajanna Military Hotel,4,164,Jayanagar,"Biryani, Fast Food",400,Low
Rustic Stove,4,577,Jayanagar,"North Indian, South Indian, Biryani, Beverages",900,Medium
Cafe Zone,4,149,Kumaraswamy Layout,"Fast Food, Chinese, Rolls",300,Low
Sri Sai 99 Variety Dosa,4,37,Jayanagar,South Indian,300,Low
Hotel New Karavali,4,133,Banashankari,"Mangalorean, South Indian, North Indian",300,Low
Donne Biryani & Kabab Corner,3,12,Kumaraswamy Layout,"Chinese, Biryani",200,Low
Shawarma Inc,3,31,Banashankari,"Rolls, Lebanese",250,Low
Protein Grillhouse,4,166,Jayanagar,"Healthy Food, Continental, Juices, Salad, Burger, Beverages, Desserts",800,Medium
Pizza Mane,4,32,Banashankari,"Pizza, Sandwich, Burger, Fast Food",150,Low
Sandwichwallas,4,104,Jayanagar,Fast Food,200,Low
Punjabi by Nature 2.0,4,3227,BTM,North Indian,1600,High
Peace Restaurant,3,109,Shanti Nagar,"Chinese, Tibetan",500,Medium
Bhojohori Manna,4,662,JP Nagar,"Bengali, Mughlai",650,Medium
Pin Me Down,5,784,BTM,"Continental, Mexican, Chinese, North Indian",800,Medium
Swathi Deluxe Restaurant,3,73,Shanti Nagar,North Indian,500,Medium
Ishta Cafe,4,40,Jayanagar,"Pizza, South Indian, Healthy Food",500,Medium
Bikaner Jn,4,85,JP Nagar,Rajasthani,300,Low
Chetty's Corner,4,21,Jayanagar,"Fast Food, Burger",150,Low
Pathaan Sir,3,33,Bannerghatta Road,"Fast Food, Rolls, Momos",250,Low
Cakewala,4,659,Jayanagar,"Bakery, Desserts",500,Medium
The Belgian Waffle Co.,4,152,Jayanagar,"Desserts, Beverages",350,Low
Mystique Palate,4,337,Jayanagar,"Chinese, Fast Food",300,Low
UP Style North Indian Food,4,46,Jayanagar,North Indian,100,Low
Namma Biryani,4,24,Banashankari,"Biryani, Chinese, North Indian",250,Low
Cool Corner,4,191,Basavanagudi,"Street Food, Fast Food",250,Low
Wat-a-Burger!,4,108,Jayanagar,"Burger, Sandwich, Beverages",500,Medium
Sri Sai Cafe,4,10,Basavanagudi,South Indian,200,Low
Cake Yard,3,9,Basavanagudi,Desserts,250,Low
Classic Shop,4,11,BTM,"Beverages, Juices",150,Low
Food And You,4,33,BTM,"North Indian, South Indian, Gujarati",350,Low
Iyengar Bakery,4,27,Jayanagar,"Bakery, Fast Food, Desserts, Beverages",200,Low
Vakulaa Veg Restaurant,4,49,Jayanagar,"South Indian, North Indian",200,Low
McDonald's,4,276,Basavanagudi,"Burger, Fast Food",500,Medium
Malabar Bay,4,1539,BTM,"Kerala, Seafood, Chinese, Biryani, Juices",800,Medium
Sahana's (Nati Style),4,47,Wilson Garden,North Indian,350,Low
Eurasia Pasta and Barbeque by Little Italy,4,1063,Jayanagar,"Italian, Fast Food, Salad, BBQ",1200,High
Turkish Shawarma,4,21,BTM,Rolls,200,Low
Swadd Kitchen,3,4,Basavanagudi,"North Indian, Fast Food",500,Medium
Pure & Natural,4,211,Jayanagar,"Fast Food, Continental, Beverages, Salad, Healthy Food",500,Medium
Stoned Monkey,4,860,Banashankari,"Desserts, Ice Cream",500,Medium
Cravy Wings,4,289,Bannerghatta Road,"American, Burger, Fast Food",400,Low
Dakshin Grand,3,82,Banashankari,"South Indian, North Indian, Chinese, Street Food",300,Low
Soup Station,4,10,Bannerghatta Road,Continental,250,Low
Pancuzzi,4,169,JP Nagar,"Cafe, Beverages, Desserts",600,Medium
Meat And Eat,3,10,Banashankari,"Fast Food, Burger",500,Medium
Asha Sweets Centre,4,27,Basavanagudi,Fast Food,250,Low
Ross Kitchen,4,21,BTM,Chinese,400,Low
Sandwich Hub,3,12,Jayanagar,"Fast Food, Sandwich",300,Low
Ambur Star Dum Biryani,3,17,Jayanagar,Biryani,100,Low
Fanoos Xprss,4,53,Jayanagar,"Arabian, Rolls, North Indian, BBQ",400,Low
Khan Saheb Grills and Rolls,4,134,Jayanagar,"Fast Food, Rolls",350,Low
Desi Vdesi,4,113,Shanti Nagar,"Fast Food, North Indian, Rolls",250,Low
Bhavani Chats N Juice,4,91,Jayanagar,"Beverages, Street Food",200,Low
Chai Mane,4,20,Basavanagudi,"Juices, Fast Food",150,Low
Chumma Delicious,4,237,Banashankari,"South Indian, Fast Food",200,Low
LIT Gastro Pub,4,197,Jayanagar,"Chinese, Continental, Burger, Pizza",1000,Medium
Bake Addiction,4,90,JP Nagar,"Bakery, Desserts",500,Medium
Go Native,4,1252,Jayanagar,"Healthy Food, Cafe, Beverages",800,Medium
Rooftop Cafe,4,796,Jayanagar,"Cafe, Fast Food, Beverages",400,Low
Karavali Kolimane,4,28,Wilson Garden,"Mangalorean, Chinese, North Indian",350,Low
Sukh Sagar,4,155,Jayanagar,"South Indian, North Indian, Chinese, Street Food",450,Low
Durga Sagar,3,8,Shanti Nagar,South Indian,150,Low
Steaming Mugs,4,240,Basavanagudi,Cafe,700,Medium
Jayanagara Donne Biryani,4,60,Jayanagar,"Biryani, South Indian",400,Low
Bakers Town,4,41,BTM,"Cafe, Continental, Fast Food",700,Medium
Anda Ka Funda,3,89,Jayanagar,"North Indian, Chinese, Rolls",250,Low
Juice Junction Food Court,4,57,Basavanagudi,"Juices, South Indian, Chinese, Fast Food",200,Low
Domino's Pizza,4,217,Wilson Garden,"Pizza, Fast Food",800,Medium
Big Mishra Pedha,3,23,Jayanagar,Mithai,250,Low
Amande Patisserie,4,73,Basavanagudi,"Bakery, French, Desserts",300,Low
S M V Snacks Corner,4,33,Basavanagudi,Fast Food,200,Low
Kaapi Kendra,4,14,Jayanagar,South Indian,100,Low
Ice Cream Works,4,192,Jayanagar,"Desserts, Ice Cream",300,Low
Sri Rajasthani Foods,4,9,JP Nagar,"Rajasthani, North Indian",200,Low
Sandwich Mama's And Frozen Monster,4,53,Jayanagar,"Ice Cream, Beverages, Fast Food",250,Low
Sreeraj Lassi Bar,4,61,Shanti Nagar,"Beverages, Desserts",150,Low
Mangalore Pearl,4,242,Jayanagar,"Mangalorean, Seafood, Chinese, Biryani",650,Medium
Rajathadri Food Fort,4,465,Jayanagar,"South Indian, North Indian, Chinese, Street Food",600,Medium
Lalbagh Grand,3,22,Basavanagudi,"South Indian, North Indian, Chinese",250,Low
Rahhams,3,307,Shanti Nagar,"Mughlai, North Indian, Chinese",700,Medium
Udupi Upachar,3,6,Banashankari,"South Indian, North Indian",500,Medium
Baskin Robbins,4,25,Jayanagar,"Ice Cream, Desserts",250,Low
Shree Mahalakshmi Sweets,3,8,Banashankari,"Mithai, Street Food",100,Low
Hushy's Kitchen,4,58,Shanti Nagar,Fast Food,300,Low
Magic Meals,4,47,Jayanagar,"Fast Food, Desserts, Beverages",400,Low
Shreyas Upahar & Burger Point,3,7,Basavanagudi,"South Indian, Burger",200,Low
The Cake City,3,4,Shanti Nagar,"Chinese, Continental, Desserts, Bakery",300,Low
Bubblewrap Waffle Co.,4,356,Jayanagar,"Desserts, Beverages",400,Low
Waffle Stories,4,249,Jayanagar,"Desserts, Beverages",300,Low
Grillopia,4,82,BTM,"Burger, Pizza, Fast Food",1000,Medium
Cross Road Cafe,4,91,Jayanagar,"Cafe, Fast Food, Chinese",300,Low
Pizza Stop,4,164,Basavanagudi,"Pizza, Italian",600,Medium
Kolkata King,3,6,Basavanagudi,"Fast Food, Rolls",300,Low
North Rasoe,3,5,Kumaraswamy Layout,"North Indian, Chinese, Biryani, Kebab",500,Medium
Ruchi's Corner,3,123,Banashankari,Fast Food,200,Low
Naati Manae,3,10,JP Nagar,"South Indian, Biryani",500,Medium
Hotel Empark,3,16,Wilson Garden,"Chinese, North Indian, Arabian",800,Medium
Swadesh Tadka,4,179,Banashankari,"North Indian, Chinese, Beverages",600,Medium
Lassi Stop,3,12,Banashankari,"Beverages, Fast Food, Juices",150,Low
The Chocolate Room,4,153,JP Nagar,"Cafe, Desserts",400,Low
Navami,4,79,Jayanagar,"Andhra, North Indian, Chinese, Mangalorean, Seafood, Biryani",600,Medium
Ibaco,4,197,Banashankari,Desserts,300,Low
Toscano,4,1129,Jayanagar,"Italian, Salad",1300,High
Shringar Sweets & Snacks,4,11,Basavanagudi,"Mithai, South Indian, Street Food, Fast Food",200,Low
Utsav Restaurant,4,61,Banashankari,"North Indian, Chinese",300,Low
Hatti Kaapi,4,89,Jayanagar,"South Indian, Beverages",200,Low
Havmor,4,21,Basavanagudi,"Ice Cream, Desserts",200,Low
The Pizzeria,3,45,Banashankari,"Pizza, Italian, Salad",800,Medium
Karavali Family Restaurant,4,90,Jayanagar,"Seafood, Biryani, South Indian, North Indian, Chinese",500,Medium
Little Cafe,4,54,Basavanagudi,"Cafe, Beverages",600,Medium
Bangarpet Chat Express,3,6,Basavanagudi,"Street Food, Fast Food",100,Low
Salut,4,442,Jayanagar,"Continental, Finger Food, Seafood, Pizza",1200,High
Aadhya Hotel,3,5,Basavanagudi,"South Indian, North Indian, Chinese, Biryani",800,Medium
Sri Krishna Sweets,4,22,Basavanagudi,"Mithai, Desserts",250,Low
Quench & Crunch,4,21,Shanti Nagar,"Beverages, Fast Food",150,Low
Shake It Off,4,659,Jayanagar,"Beverages, Fast Food",600,Medium
Xpress Chai,4,30,BTM,Tea,150,Low
Cafe Ajfan,4,261,Jayanagar,"Cafe, Continental, Beverages",700,Medium
Kettle & Kegs,3,6,Banashankari,"Tea, Beverages",200,Low
Curry Leaves,4,176,Basavanagudi,"Andhra, North Indian, Chinese",800,Medium
Thanco's Natural Ice Cream,4,69,Basavanagudi,"Ice Cream, Desserts",450,Low
Cane-O-La,4,61,Basavanagudi,Juices,100,Low
Ruchis Point,4,75,Banashankari,"Fast Food, Chinese",200,Low
Mudpipe Cafe,5,1872,BTM,"Cafe, Continental, Burger",900,Medium
Karavali Grand,4,25,Koramangala 5th Block,"Mangalorean, Seafood, North Indian, Chinese",600,Medium
Chai Kraft,4,30,Jayanagar,"Beverages, Tea",100,Low
Vietnamese Kitchen,4,105,Banashankari,Vietnamese,700,Medium
Udupi Grand,4,74,Basavanagudi,"South Indian, North Indian, Chinese",300,Low
The Krishna Grand Xpress,4,136,Jayanagar,"South Indian, Fast Food",350,Low
City Durbar,4,71,Jayanagar,"North Indian, Chinese, Biryani",450,Low
World of Waffles,4,178,JP Nagar,Desserts,400,Low
Just Bunny,4,11,Jayanagar,Fast Food,200,Low
Chinese House,3,19,Jayanagar,"Chinese, Thai, Momos",300,Low
Ragoo's,4,233,Jayanagar,"Italian, Pizza, North Indian, Salad",800,Medium
Nammura Donne Biriyani,4,155,Basavanagudi,"Mughlai, Biryani",400,Low
Marzipan @ The Bohemian House,4,49,Richmond Road,Cafe,700,Medium
Masale Daan,3,4,Banashankari,North Indian,350,Low
Udupi Sri Krishna Cafe,4,14,Jayanagar,"North Indian, South Indian",600,Medium
A2B Veg - Adyar Ananda Bhavan,3,97,Basavanagudi,"South Indian, Fast Food, Street Food",400,Low
J K Fish Land,4,35,Jayanagar,"Seafood, Mangalorean",300,Low
Shri Vinayaka Ice N Juice,3,11,Basavanagudi,"Beverages, Fast Food",150,Low
Indori Chatorey,3,137,BTM,"North Indian, Street Food",300,Low
Brew Meister,4,970,Jayanagar,"North Indian, Continental, Finger Food, American, Asian",1500,High
Thamboola,4,135,Banashankari,"North Indian, Chinese, Continental",800,Medium
Swarga Ruchi,3,10,Basavanagudi,South Indian,200,Low
Bombay Kulfi,4,18,Jayanagar,"Desserts, Ice Cream",150,Low
Nandhanus Rasoi,3,9,Jayanagar,"Chinese, Rolls, North Indian",200,Low
Cafe Mondo,4,514,Basavanagudi,"Cafe, Italian, Beverages",600,Medium
Mockaholic Restro Beer Cafe,4,914,JP Nagar,"North Indian, Chinese, Pizza, BBQ",1000,Medium
Navi Food Point,4,22,Basavanagudi,Fast Food,200,Low
Ugadi,3,177,Jayanagar,"North Indian, Chinese, Biryani, Andhra, Mangalorean",700,Medium
3 Spice,4,157,Wilson Garden,"North Indian, Chinese",450,Low
Ascharya Hotel,3,10,Koramangala 5th Block,"Mangalorean, South Indian",300,Low
Waffle-A-Go Go,4,70,Banashankari,"Fast Food, Desserts, Ice Cream",400,Low
Mug N Bean,4,247,Jayanagar,"Cafe, Continental, Italian, Burger",400,Low
Jalaram Sweets,4,32,Jayanagar,"Desserts, Mithai",250,Low
Bakers77,4,35,Jayanagar,"Bakery, Fast Food",400,Low
Chai Culture,4,8,Jayanagar,Beverages,200,Low
In Time Cane Juice,4,10,Kumaraswamy Layout,"Juices, Beverages",100,Low
Pappu Da Dhaba,3,57,Jayanagar,"North Indian, Fast Food, Beverages, Momos",400,Low
Desi Inn,4,13,Shanti Nagar,North Indian,300,Low
Paratha Merchant,3,39,Kumaraswamy Layout,North Indian,300,Low
Black Cup Cafe,4,20,BTM,"Cafe, Fast Food, Beverages",400,Low
Pop Hop,4,204,Jayanagar,"Ice Cream, Desserts",300,Low
Sri Yaksha Shiv Sagar,4,24,Banashankari,"North Indian, Chinese",600,Medium
Chung Wah,4,519,Banashankari,"Chinese, Momos, Thai, Vietnamese",900,Medium
Aramane Donne Briyani,4,334,JP Nagar,"Biryani, Fast Food",300,Low
Nandhi Andhra Style Family Restaurant,3,13,Jayanagar,"Seafood, Biryani, South Indian, North Indian, Chinese, Kebab",400,Low
New Udupi Upahar,4,23,Jayanagar,"South Indian, North Indian",300,Low
Ramji Chaiwale,4,19,Jayanagar,"Beverages, Fast Food",250,Low
Tangra Indo - Chinese Cuisine,4,29,Jayanagar,"Chinese, Thai",400,Low
1441 Pizzeria,4,119,JP Nagar,"Pizza, Salad",800,Medium
New Chickpete Donne Biryani,4,68,Basavanagudi,Biryani,250,Low
The Airos,4,130,Jayanagar,"Cafe, Italian, Pizza",650,Medium
Vennela Andhra Meals,3,23,Jayanagar,Andhra,400,Low
SLV Refreshment,4,94,Banashankari,South Indian,100,Low
Pavithra Restaurant,3,133,Jayanagar,"South Indian, North Indian, Chinese",300,Low
Biryani Paradise,3,6,Shanti Nagar,"Biryani, Fast Food",400,Low
MRS Paradise,3,21,Jayanagar,"South Indian, North Indian, Chinese",650,Medium
Shree Sagar,3,33,Jayanagar,"North Indian, South Indian, Chinese",500,Medium
Beijing Bites,3,128,Banashankari,"Chinese, Thai",850,Medium
Meat And Eat,3,4,Wilson Garden,"Fast Food, Burger",500,Medium
Rakesh Kumar Pani Poori,4,13,Jayanagar,Street Food,100,Low
Sangam Military Hotel,3,14,Jayanagar,South Indian,250,Low
VEGeatz,3,19,Banashankari,"South Indian, North Indian",200,Low
Just Shawarma,4,66,Banashankari,Arabian,300,Low
Adithya,4,28,Jayanagar,"South Indian, North Indian, Chinese",300,Low
SVKP Daily Fresh,3,5,Banashankari,South Indian,350,Low
Hotel Coronation,3,5,City Market,"North Indian, Chinese, Kebab, Rolls",350,Low
Shree Balaji Paratha House,3,17,Jayanagar,North Indian,200,Low
Srinagar Kabab Corner,3,10,Banashankari,North Indian,250,Low
Sri Venkateshwara Chat Centre,4,12,Banashankari,Street Food,100,Low
Donne Biryani,3,10,Shanti Nagar,Biryani,200,Low
Saarangi Express,3,6,Jayanagar,"Fast Food, South Indian",250,Low
Sri Udupi Veg,3,4,Jayanagar,South Indian,250,Low
Adithya Veg,3,10,Jayanagar,"South Indian, Chinese",300,Low
Nandi Chats and Juice,4,47,Banashankari,Street Food,150,Low
FOOD ADDA,3,4,Banashankari,Fast Food,200,Low
Yo Roll Corner,3,27,Banashankari,"Street Food, Rolls",200,Low
Sri Lakshmi Kabab Center,3,4,Banashankari,Kebab,200,Low
Tasty Bites,4,21,Banashankari,"Fast Food, Pizza",150,Low
Hotel Renowned,3,5,City Market,"North Indian, Biryani",200,Low
Hotel Kalpaka,3,4,City Market,"South Indian, Kerala",400,Low
Raams Chicken,4,22,Banashankari,Andhra,300,Low
Panchami,3,15,Banashankari,"North Indian, Chinese",300,Low
Poornima Restaurant,3,29,Wilson Garden,South Indian,200,Low
Kavali,4,42,Banashankari,"South Indian, Street Food",300,Low
Kolkata Restaurant,3,7,Jayanagar,"Bengali, North Indian, Chinese",300,Low
Chung Wah,4,323,Jayanagar,"Chinese, Thai, Momos",850,Medium
Once Upon a Rooftop,4,1236,Jayanagar,"Pizza, Italian, Chinese, Thai",1000,Medium
Soho Bar & Grill,3,377,Basavanagudi,"North Indian, Chinese, Thai",1100,High
Beetle Juice Bar - Springs Hotel & Spa,4,64,Basavanagudi,Finger Food,2200,High
Jcubez,4,977,Banashankari,Finger Food,1300,High
The Lounge - Eden Park Restaurants,4,151,Jayanagar,"North Indian, Afghani",1350,High
Blue Wings Bar & Restaurant,4,43,Banashankari,"North Indian, Chinese",700,Medium
Clove Rooftop,4,235,Jayanagar,"Konkan, Seafood",1000,Medium
Kava - Fairfield by Marriott,4,284,Bellandur,"North Indian, South Indian, Continental",1500,High
The Fisherman's Wharf,4,4099,Sarjapur Road,"Seafood, Goan, North Indian, Continental, Asian",1400,High
MoMo Cafe - Courtyard by Marriott,4,271,Bellandur,"Asian, North Indian, South Indian, Momos",2000,High
Ruh,4,3020,Bellandur,"North Indian, Mughlai, Mediterranean, Iranian",1000,Medium
Tipsy Bull - The Bar Exchange,4,2182,Bellandur,"North Indian, Chinese, Continental, Mexican",1400,High
Nook - Aloft Bengaluru Cessna Business Park,4,403,Bellandur,"North Indian, Continental, Asian",1800,High
Chaarcoal,4,444,Bellandur,North Indian,1200,High
Sharaab Factory,4,392,Bellandur,"Biryani, North Indian",1500,High
Skylit - Citrus Hotels,4,255,Bellandur,"North Indian, Mughlai, Mediterranean",1500,High
Punjabi Times,4,1691,Bellandur,North Indian,1100,High
Flavors of India,4,37,Bellandur,"Chinese, North Indian, Salad, Fast Food",1500,High
Monsoon,3,11,Bellandur,Continental,1000,Medium
BISO - Citrus Hotels,3,120,Bellandur,"North Indian, Italian, Chinese, Asian",1000,Medium
Chef's Gallery,4,95,Bellandur,"Chinese, Italian, North Indian",700,Medium
Palki's,3,155,Bellandur,"North Indian, Biryani",800,Medium
W XYZ Bar - Aloft Bengaluru Cessna Business Park,4,46,Bellandur,"Finger Food, North Indian",2000,High
The Black Pearl,5,7023,Marathahalli,"North Indian, European, Mediterranean, BBQ",1500,High
Jalsa Gold,5,3421,Marathahalli,"North Indian, Mughlai, Italian",1300,High
AB's - Absolute Barbecues,5,881,Sarjapur Road,"European, Mediterranean, North Indian, BBQ",1600,High
The Hidden Home,4,994,Sarjapur Road,"Asian, Chinese, Continental, North Indian, South Indian",1300,High
Barbecoa,4,1303,Marathahalli,"North Indian, Continental, Chettinad, Andhra, Bengali",1000,Medium
Opus Food Stories,5,163,Sarjapur Road,"Goan, Asian, North Indian, European, Continental",1500,High
Village - The Soul of India,4,1225,Sarjapur Road,"North Indian, Lucknowi, Gujarati, Maharashtrian, South Indian, Bengali",1100,High
Little Italy,4,715,Sarjapur Road,"Italian, Pizza",1500,High
Xtreme Sports Bar,4,942,Sarjapur Road,"Continental, Chinese, North Indian",1300,High
RRoyal Rajasthan,4,754,Sarjapur Road,"Rajasthani, North Indian",500,Medium
Flavours - Octave Hotel & Spa,3,197,Sarjapur Road,"North Indian, Chinese",700,Medium
Equinox Bar - DoubleTree Suites By Hilton,4,52,Sarjapur Road,"Continental, Thai, Vietnamese, American, Chinese, North Indian, Finger Food",1900,High
Story Time,4,15,Bellandur,"North Indian, South Indian, Andhra, Cafe",500,Medium
The Salad Studio,4,107,Bellandur,"Cafe, Healthy Food, Salad",400,Low
Mont Blanc Cafe,4,35,Bellandur,"Cafe, Bakery, Italian",650,Medium
Chef Baker's,4,136,Bellandur,"Bakery, Fast Food, Pizza, Burger, Cafe",600,Medium
Cafe Jezve,4,23,Bellandur,Cafe,500,Medium
Starbucks,4,38,Bellandur,"Cafe, Desserts",700,Medium
Puro Gusto,4,25,Bellandur,Cafe,400,Low
Tata Cha,4,34,Bellandur,"Tea, Fast Food, Cafe",400,Low
Cafe Coffee Day,3,48,Bellandur,"Cafe, Fast Food",900,Medium
Tea Totallers,3,19,Bellandur,"Cafe, Continental, Tea",500,Medium
Delitz Creamvilla Cafe,4,74,Bellandur,"Cafe, Desserts, Ice Cream",600,Medium
The Brewing Bean,4,47,Bellandur,Cafe,500,Medium
Cuppa,4,33,Bellandur,"Cafe, Fast Food",550,Medium
Costa Coffee,3,6,Bellandur,"Cafe, Fast Food",500,Medium
Cafe Olive,4,114,Bellandur,"Cafe, European, Beverages, Italian",550,Medium
Cafe Thulp,4,341,Bellandur,"Cafe, Burger, Italian, Salad",1000,Medium
Chai Resto,4,5,Bellandur,"Fast Food, Tea",200,Low
Stoner,4,556,Sarjapur Road,"Ice Cream, Cafe, Pizza, Burger, Desserts, Beverages",500,Medium
Zoey's,4,894,Sarjapur Road,"Cafe, Italian, Continental, Burger",600,Medium
Eating Love,4,149,Sarjapur Road,"Cafe, Italian, Pizza",800,Medium
Light House Cafe,4,94,Marathahalli,"Cafe, Beverages, Continental, North Indian, Chinese",700,Medium
Chaai Resto,4,33,Sarjapur Road,"Cafe, Rolls, Fast Food",200,Low
Imperio Cafe,4,22,Whitefield,"Cafe, Fast Food, Pizza, Burger, Beverages",200,Low
eat.fit,4,632,Bellandur,"Healthy Food, North Indian, Biryani, Continental, Sandwich, Desserts",500,Medium
Sher-E-Punjab,3,414,Marathahalli,"North Indian, Chinese",400,Low
Blue Berry Restaurant,4,146,Bellandur,"North Indian, Biryani, Chinese, Beverages",650,Medium
BOX8- Desi Meals,4,166,Bellandur,"North Indian, Mughlai, Fast Food",500,Medium
FreshMenu,3,113,Marathahalli,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450,Low
Udupi Ruchi,4,240,Bellandur,"South Indian, North Indian, Chinese, Street Food",200,Low
Rangla Punjab,3,313,Bellandur,"North Indian, Chinese",450,Low
Thiruvithamkoor Restaurant,3,294,Sarjapur Road,"Kerala, Seafood, South Indian, Biryani",400,Low
The Paratha Company,4,166,HSR,North Indian,400,Low
nu.tree,4,278,Sarjapur Road,"North Indian, Healthy Food, Beverages",400,Low
Best Of Bengal,4,230,Marathahalli,Bengali,300,Low
Kerala Panoor Restaurant,4,137,Bellandur,"Kerala, Seafood, Biryani, South Indian",350,Low
Odians,3,38,Marathahalli,"North Indian, Chinese, Oriya",500,Medium
Pet Full @ 99,3,15,Sarjapur Road,North Indian,200,Low
New Punjabi Dhaba,4,782,HSR,"North Indian, Chinese",300,Low
Punjabi Dawat,3,248,Bellandur,"North Indian, Chinese",400,Low
Burger King,4,62,Sarjapur Road,"Burger, Fast Food",500,Medium
Kerala Mess Upahar,4,123,Bellandur,"Kerala, Biryani, South Indian",300,Low
Phulke Ghar Ke,4,532,Bellandur,"North Indian, Chinese",300,Low
XO Belgian Waffle,5,141,HSR,"Desserts, Beverages",400,Low
Lassi Corner,4,68,Marathahalli,"Beverages, Juices, Ice Cream, Fast Food, Sandwich",200,Low
Bathinda Junction,4,533,HSR,North Indian,600,Medium
